No    | English        | Vietnamese     
2276  | quality        | chất lượng, phẩm chất
2277  | quantity       | lượng, số lượng
2278  | quarter        | 1/4, 15 phút   
2279  | queen          | nữ hoàng       
2280  | question       | câu hỏi; hỏi, chất vấn
2281  | quick          | nhanh          
2282  | quickly        | nhanh          
2283  | quiet          | lặng, yên lặng, yên tĩnh
2284  | quietly        | lặng, yên lặng, yên tĩnh
2285  | quit           | thoát,thoátra  
2286  | quite          | hoàn toàn, hầu hết
2287  | quote          | trích dẫn      
2288  | race           | loài, chủng, giống; cuộc đua; đua
2289  | racing         | cuộc đua       
2290  | radio          | sóng vô tuyến, radio
2291  | rail           | đường ray      
2292  | railway        | đường sắt      
2293  | rain           | mưa, cơn mưa; mưa
2294  | raise          | nâng lên, đưa lên, ngẩng lên
2295  | range          | dãy, hàng, loại; phạm vi, trình độ
2296  | rank           | hàng, dãy; sắp xếp thành hàng, dãy
2297  | rapid          | nhanh, nhanh chóng
2298  | rapidly        | nhanh, nhanh chóng
2299  | rare           | hiếm, ít       
2300  | rarely         | hiếm khi, ít khi
2301  | rate           | tỷ lệ, tốc độ  
2302  | rather         | thà.. còn hơn, thích... hơn. rather: than hơn là
2303  | raw            | sống (# chín), thô, còn nguyên chất
2304  | re             | null           
2305  | reach          | đến, đi đến, tới
2306  | react          | tácđộngtrởlại,phảnứng
2307  | reaction       | sựphản ứng;sựphảntácdụng
2308  | read           | đọc            
2309  | reader         | người đọc, độc giả
2310  | reading        | sự đọc         
2311  | ready          | sẵn sàng       
2312  | real           | thực, thực tế, có thật
2313  | realistic      | hiện thực      
2314  | reality        | sự thật, thực tế, thực tại
2315  | realize        | thực hiện, thực hành; thấy rõ, hiể rõ, nhận thức rõ (việc gì...)
2316  | really         | thực, thực ra, thực sự
2317  | rear           | phíasau;ởđằngsau,ởđằngsau
2318  | reason         | lý do, lý lẽ   
2319  | reasonable     | có lý, hợp lý  
2320  | reasonably     | hợp lý         
2321  | recall         | gọi về, triệu hồi; nhắc lại, gợi lại
2322  | receipt        | công thức; đơn thuốc
2323  | receive        | nhận, lĩnh, thu
2324  | recent         | gần đây, mới đây
2325  | recently       | gần đây, mới đây
2326  | reception      | sự nhận, sự tiếp nhận, sự đón tiế
2327  | reckon         | tính, đếm      
2328  | recognition    | sự công nhận, sự thưa nhận
2329  | recognize      | nhận ra, nhận diện; công nhận, thưa nhận
2330  | recommend      | giớithiệu,tiến cử; đềnghị,khuyênbảo
2331  | record         | bản ghi, sự ghi, bản thu, sự thu; thu, ghi chép
2332  | recording      | sự ghi, sự thu âm
2333  | recover        | lấy lại, giành lại
2334  | red            | đỏ; màu đỏ     
2335  | reduce         | giảm, giảm bớt 
2336  | reduction      | sự giảm giá, sự hạ giá
2337  | reference      | sự tham khảo, hỏi ý kiến
2338  | reflect        | phản chiếu, phản hồi, phản ánh
2339  | reform         | cải cách, cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo
2340  | refrigerator   | tủ lạnh        
2341  | refusal        | sự từ chối, sự khước từ
2342  | refuse         | từ chối, khước từ
2343  | regard         | nhìn,đánhgiá; cáinhìn,sựquan tâm,sựchúý (lờichúctụngcuối thư)
2344  | regarding      | về, về việc, đối với (vấn đề...)
2345  | region         | vùng,miền      
2346  | regional       | vùng, địa phương
2347  | register       | đăng ký, ghi vào sổ; sổ, sổ sách, máy ghi
2348  | regret         | đáng tiếc, hối tiếc; lòng thương tiếc, sự hối tiếc
2349  | regular        | thường xuyên, đều đặn
2350  | regularly      | đều đặn, thường xuyên
2351  | regulation     | sự điều chỉnh, điều lệ, quy tắc
2352  | reject         | không chấp nhận, loại bỏ, bác bỏ
2353  | relate         | kể lại, thuật lại; liên hệ, liên quan
2354  | related        | có liên quan, có quan hệ với ai, cái gì
2355  | relation       | mốiquanhệ,sự liênquan,liênlạc
2356  | relationship   | mối quan hệ, mối liên lạc
2357  | relative       | có liên quấn đến; người có họ, đạ từ quan hệ
2358  | relatively     | có liên quan, có quan hệ
2359  | relax          | giải trí, nghỉ ngơi
2360  | relaxed        | thanh thản, thoải mái
2361  | relaxing       | làm giảm, bớt căng thẳng
2362  | release        | làmnhẹ,bớt,thả,phóngthích,pháthành;sự giảithoát,thoátkhỏi, sự thả, phóng thích, sự phát hành
2363  | relevant       | thích hợp, có liên quan
2364  | relief         | sự giảm nhẹ, sự làm cho khuây khỏa; sự trợ cấp; sự đền bù
2365  | religion       | tôn giáo       
2366  | religious      | (thuộc) tôn giáo
2367  | remain         | còn lại,vẫn còn như cũ
2368  | remaining      | còn lại        
2369  | remains        | đồ thưa, cái còn lại
2370  | remark         | sựnhậnxét,phêbình,sự đểý,chúý;nhậnxét,phêbình,đểý,chúý
2371  | remarkable     | đáng chú ý, đáng để ý; khác thường
2372  | remarkably     | đáng chú ý, đáng để ý; khác thường
2373  | remember       | nhớ, nhớ lại   
2374  | remind         | nhắc nhở, gợi nhớ
2375  | remote         | xa, xa xôi, xa cách
2376  | removal        | viêc di chuyển, việc dọn nhà, dời đi
2377  | remove         | dời đi, di chuyển
2378  | rent           | sự thuê mướn; cho thuê, thuê
2379  | rented         | đượcthuê,đượcmướn
2380  | repair         | sửa chữa, chỉnh tu; sự sửa chữa, sự chỉnh tu
2381  | repeat         | nhắc lại, lặp lại
2382  | repeated       | được nhắc lại, được lặp lại
2383  | repeatedly     | lặpđilặp lạinhiềulần
2384  | replace        | thay thế       
2385  | reply          | sự trả lời, sự hồi âm; trả lời, hồi âm
2386  | report         | báo cáo, tường trình; bản báo cáo, bản tường trình
2387  | represent      | miêu tả, hình dung; đại diện, thay mặt
2388  | representative | điều tiêu biểu, tượngtrưng,mẫu;miêu tả, biểuhiện,đại diện,tượng trưng
2389  | reproduce      | tái sản xuất   
2390  | reputation     | sự nổi tiếng, nổi danh
2391  | request        | lời thỉnh cầu, lời đề nghị, yêu cầu; thỉnh cầu, đề nghị, yêu cầu
2392  | require        | đòi hỏi, yêu cầu, quy định
2393  | requirement    | nhucầu,sự đòi hỏi;luậtlệ,thủtục
2394  | rescue         | giảithoát,cứunguy;sự giảithoát,sự cứunguy
2395  | research       | sự nghiên cứu  
2396  | reservation    | sự hạn chế, điều kiện hạn chế
2397  | reserve        | dựtrữ,đểdành,đặt trước,đăngký trước; sự dự trữ, sự đểdành,sự đặt trước, sự đăng ký trước
2398  | resident       | người sinh sống, trú ngụ, khách trọ; có nhà ở, cư trú, thường trú
2399  | resist         | chống lại, phản đổi, kháng cự
2400  | resistance     | sự chống lại, sự phản đối, sự kháng cự
2401  | resolve        | quyết định, kiên quyết (làm gì); giải quyết (vấn đề, khó khă(n).)
2402  | resort         | kế sách, phương kế
2403  | resource       | tàinguyên;kếsách,thủđoạn
2404  | respect        | sự kính trọng, sự lễ phép; tôn trọng, kính trọng, khâm phục
2405  | respond        | hưởng ứng, phản ứng lại, trả lời
2406  | response       | sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại
2407  | responsibility | trách nhiệm, sự chịu trách nhiệm
2408  | responsible    | chịu trách nhiệm về, chịu trách nhiệm trước ai, gì
2409  | rest           | sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi. the rest vật, cái còn lại, những người, cái khác
2410  | restaurant     | nhà hàng ăn, hiệu ăn
2411  | restore        | hoànlại,trảlại; sửachữalại,phụchồilại
2412  | restrict       | hạn chế, giới hạn
2413  | restricted     | bịhạnchế,cógiớihạn;vùngcấm
2414  | restriction    | sự hạn chế, sự giới hạn
2415  | result         | kết quả; bởi, do.. mà ra, kết quả là...
2416  | retain         | giữ lại, nhớ được
2417  | retire         | rời bỏ, rút về; thôi, nghỉ việc, về hưu
2418  | retired        | ẩn dật, hẻo lánh, đã về hưu, đã nghỉ việc
2419  | retirement     | sự ẩn dật, nơi hẻo lánh, sự về hưu, sự nghỉ việc
2420  | return         | trở lại, trở về; sự trở lại, sự trở về
2421  | reveal         | bộc lộ, biểu lộ, tiết lộ; phát hiện, khám phá
2422  | reverse        | đảo, ngược lại; điều trái ngược, mặt trái
2423  | review         | sựxemlại, sựxétlại;làmlại,xem xétlại
2424  | revise         | đọc lại, xem lại, sửa lại, ôn lại
2425  | revision       | sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại
2426  | revolution     | cuộc cách mạng 
2427  | reward         | sựthưởng,phầnthưởng; thưởng, thưởngcông
2428  | rhythm         | nhịp điệu      
2429  | rice           | gạo, thóc, cơm; cây lúa
2430  | rich           | giàu, giàu có  
2431  | rid            | giải thoát (get rid of : tống khứ)
2432  | ride           | đi, cưỡi (ngựa); sự đi, đường đi
2433  | rider          | ngườicưỡingựa, người đixeđạp
2434  | ridiculous     | buồn cười, lố bịch, lố lăng
2435  | riding         | mônthểthấocưỡingựa, sự đixe(bus,điện,xeđạp)
2436  | right          | thẳng, phải, tốt; ngấy, đúng; điều thiện, điều phải, tốt, bên phải
2437  | rightly        | đúng, phải, có lý
2438  | ring           | chiếc nhẫn, đeo nhẫn cho ai
